Rk,Player,From,To,Yrs,G,MP_total,FG,FGA,3P,3PA,FT,FTA,ORB,TRB_total,AST_total,STL,BLK,TOV,PF,PTS_total,FG%,3P%,FT%,MP,PTS,TRB,AST
370,Stan Washington,1975,1975,1,1,4,0,1,,,0,0,0,0,0,0,0,,1,0,.000,,,4.0,0.0,0.0,0.0
371,Nick Weatherspoon,1974,1977,4,222,3798,700,1579,,,300,422,361,1041,146,162,58,,582,1700,.443,,.711,17.1,7.7,4.7,0.7
372,Chris Webber,1995,1998,4,212,8240,1865,3722,180,535,531,948,651,2049,935,343,355,631,764,4441,.501,.336,.560,38.9,20.9,9.7,4.4
373,Jeff Webster,1996,1996,1,11,58,8,23,2,6,0,0,2,7,3,4,0,3,7,18,.348,.333,,5.3,1.6,0.6,0.3
374,Martell Webster,2013,2015,3,186,4709,559,1314,295,744,321,387,101,562,257,97,33,170,340,1734,.425,.397,.829,25.3,9.3,3.0,1.4
375,Bob Weiss,1977,1977,1,62,768,62,133,,,29,37,15,69,130,53,7,,66,153,.466,,.784,12.4,2.5,1.1,2.1
376,Ralph Wells,1963,1963,1,3,48,1,7,,,0,7,,6,7,,,,6,2,.143,,.000,16.0,0.7,2.0,2.3
377,Walt Wesley,1974,1974,1,39,400,71,151,,,26,43,63,136,14,9,20,,74,168,.470,,.605,10.3,4.3,3.5,0.4
378,Roland West,1968,1968,1,4,14,2,5,,,0,0,,5,0,,,,3,4,.400,,,3.5,1.0,1.3,0.0
379,Ennis Whatley,1986,1987,2,77,1843,251,529,0,2,127,168,60,201,399,92,11,138,173,629,.474,.000,.756,23.9,8.2,2.6,5.2
380,Jahidi White,1999,2004,6,256,4917,623,1223,0,1,405,737,599,1649,55,92,293,321,680,1651,.509,.000,.550,19.2,6.4,6.4,0.2
381,Chris Whitney,1996,2004,8,463,8482,1064,2632,489,1315,652,742,85,706,1387,307,29,493,805,3269,.404,.372,.879,18.3,7.1,1.5,3.0
382,Mike Wilks,2008,2008,1,4,44,2,4,1,2,0,0,1,6,3,3,0,1,2,5,.500,.500,,11.0,1.3,1.5,0.8
383,John Williamson,1980,1981,2,39,715,171,412,4,22,45,56,14,52,56,14,11,61,79,391,.415,.182,.804,18.3,10.0,1.3,1.4
384,Aaron Williams,2000,2000,1,81,1545,235,450,0,3,146,201,159,409,58,41,92,80,234,616,.522,.000,.726,19.1,7.6,5.0,0.7
385,Freeman Williams,1986,1986,1,9,110,25,67,7,14,12,17,4,12,7,7,1,13,10,69,.373,.500,.706,12.2,7.7,1.3,0.8
386,Gus Williams,1985,1986,2,156,5244,1072,2496,81,292,389,534,124,361,1061,274,47,373,272,2614,.429,.277,.728,33.6,16.8,2.3,6.8
387,Guy Williams,1985,1985,1,21,119,29,63,1,4,2,5,15,27,9,5,2,8,17,61,.460,.250,.400,5.7,2.9,1.3,0.4
388,John Williams,1987,1991,5,293,8187,1442,3141,44,204,695,950,484,1696,996,448,149,535,699,3623,.459,.216,.732,27.9,12.4,5.8,3.4
389,Lorenzo Williams,1997,2000,3,41,451,40,57,0,0,5,9,56,120,8,11,17,23,79,85,.702,,.556,11.0,2.1,2.9,0.2
390,Michael Wilson,1984,1984,1,6,26,0,2,0,1,1,2,1,1,3,0,0,3,5,1,.000,.000,.500,4.3,0.2,0.2,0.5
391,David Wingate,1992,1992,1,81,2127,266,572,1,18,105,146,80,269,247,123,21,124,162,638,.465,.056,.719,26.3,7.9,3.3,3.0
392,Garry Witts,1982,1982,1,46,493,49,84,1,2,33,40,29,62,38,17,4,35,74,132,.583,.500,.825,10.7,2.9,1.3,0.8
393,Leon Wood,1986,1986,1,39,743,127,330,28,85,96,121,16,63,107,20,0,67,46,378,.385,.329,.793,19.1,9.7,1.6,2.7
394,Haywoode Workman,1991,1991,1,73,2034,234,515,12,50,101,133,51,242,353,87,7,135,162,581,.454,.240,.759,27.9,8.0,3.3,4.8
395,Tom Workman,1968,1969,2,22,96,22,56,,,10,16,,28,2,,,,19,54,.393,,.625,4.4,2.5,1.3,0.1
396,Larry Wright,1977,1980,4,297,5831,1050,2254,4,16,385,498,151,462,1012,241,51,361,675,2489,.466,.250,.773,19.6,8.4,1.6,3.4
397,Nick Young,2008,2012,5,335,7661,1431,3318,343,902,667,805,120,638,327,177,63,391,651,3872,.431,.380,.829,22.9,11.6,1.9,1.0
398,Gary Zeller,1971,1972,2,78,697,117,344,,,37,63,,92,37,,,,105,271,.340,,.587,8.9,3.5,1.2,0.5
