Rk,Player,From,To,Yrs,G,MP_total,FG,FGA,3P,3PA,FT,FTA,ORB,TRB_total,AST_total,STL,BLK,TOV,PF,PTS_total,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Michael Adams,1995,1996,2,50,772,104,231,43,122,51,65,11,51,162,44,5,51,66,302,.450,.352,.785,15.4,6.0,1.0,3.2
2,Rafael Addison,1996,1997,2,94,871,126,287,8,29,39,50,44,135,64,17,12,44,126,299,.439,.276,.780,9.3,3.2,1.4,0.7
3,Jeff Adrien,2013,2014,2,77,969,94,208,0,2,78,125,101,284,43,25,42,40,115,266,.452,.000,.624,12.6,3.5,3.7,0.6
4,Alexis Ajinca,2009,2010,2,37,212,30,79,0,2,20,29,10,34,3,8,7,14,39,80,.380,.000,.690,5.7,2.2,0.9,0.1
5,Cory Alexander,2005,2005,1,16,201,16,49,8,19,9,12,8,29,37,9,1,19,29,49,.327,.421,.750,12.6,3.1,1.8,2.3
6,Malik Allen,2005,2005,1,22,271,49,101,0,0,13,14,16,47,7,5,11,7,24,111,.485,,.929,12.3,5.0,2.1,0.3
7,Alan Anderson,2006,2007,2,53,820,112,262,29,78,52,64,34,102,53,18,4,54,81,305,.427,.372,.813,15.5,5.8,1.9,1.0
8,Derek Anderson,2007,2008,2,78,1586,173,419,73,204,121,144,38,165,177,64,8,81,164,540,.413,.358,.840,20.3,6.9,2.1,2.3
9,Kenny Anderson,1996,1996,1,38,1302,206,454,56,157,109,150,26,102,328,59,6,88,105,577,.454,.357,.727,34.3,15.2,2.7,8.6
10,Richard Anderson,1990,1990,1,54,604,88,211,37,100,18,23,33,127,55,20,9,26,64,231,.417,.370,.783,11.2,4.3,2.4,1.0
11,Michael Ansley,1992,1992,1,2,13,3,7,0,0,0,0,0,2,0,0,0,0,1,6,.429,,,6.5,3.0,1.0,0.0
12,B.J. Armstrong,1998,1999,2,72,950,120,237,15,42,46,53,13,85,171,28,0,45,84,301,.506,.357,.868,13.2,4.2,1.2,2.4
13,Stacey Augmon,2002,2002,1,77,1319,140,328,0,3,77,101,59,225,103,56,12,54,115,357,.427,.000,.762,17.1,4.6,2.9,1.3
14,D.J. Augustin,2009,2012,4,282,7545,1017,2501,350,936,684,781,90,564,1248,177,11,458,484,3068,.407,.374,.876,26.8,10.9,2.0,4.4
15,Nicolas Batum,2016,2016,1,31,1079,169,398,67,181,99,117,31,201,160,33,17,96,51,504,.425,.370,.846,34.8,16.3,6.5,5.2
16,Lonny Baxter,2006,2006,1,18,119,12,32,0,0,12,16,7,33,2,2,1,7,8,36,.375,,.750,6.6,2.0,1.8,0.1
17,Corey Beck,1996,1999,3,80,921,89,198,3,5,50,74,33,120,123,41,9,85,129,231,.449,.600,.676,11.5,2.9,1.5,1.5
18,Raja Bell,2009,2010,2,50,1760,247,562,79,201,74,84,38,200,123,41,8,73,122,647,.440,.393,.881,35.2,12.9,4.0,2.5
19,Tony Bennett,1993,1995,3,152,1886,221,536,55,164,41,56,28,155,303,69,1,93,200,538,.412,.335,.732,12.4,3.5,1.0,2.0
20,Bismack Biyombo,2012,2015,4,284,5956,474,954,0,0,291,549,571,1723,86,73,443,245,604,1239,.497,,.530,21.0,4.4,6.1,0.3
21,James Blackwell,1995,1995,1,4,19,2,3,0,0,0,0,0,3,5,1,0,2,1,4,.667,,,4.8,1.0,0.8,1.3
22,Keith Bogans,2005,2006,2,113,2639,376,976,90,271,213,288,105,332,180,107,11,163,245,1055,.385,.332,.740,23.4,9.3,2.9,1.6
23,Muggsy Bogues,1989,1998,10,632,19768,2307,4952,82,291,835,1021,428,1840,5557,1067,28,1118,1222,5531,.466,.282,.818,31.3,8.8,2.9,8.8
24,Earl Boykins,2008,2008,1,36,577,61,172,14,44,49,59,9,34,96,13,0,41,21,185,.355,.318,.831,16.0,5.1,0.9,2.7
25,Primoz Brezec,2005,2008,4,229,5546,935,1864,1,5,374,517,501,1199,160,63,113,244,606,2245,.502,.200,.723,24.2,9.8,5.2,0.7
26,Frank Brickowski,1994,1994,1,28,653,117,233,1,2,47,63,32,125,57,28,11,56,77,282,.502,.500,.746,23.3,10.1,4.5,2.0
27,Andre Brown,2009,2009,1,4,41,1,7,0,0,2,2,7,12,1,1,0,5,9,4,.143,,1.000,10.3,1.0,3.0,0.3
28,Chucky Brown,1999,2000,2,81,1686,242,525,16,47,51,80,60,264,82,28,27,55,167,551,.461,.340,.638,20.8,6.8,3.3,1.0
29,Derrick Brown,2010,2012,3,163,2466,342,669,10,37,167,260,158,398,115,85,30,102,197,861,.511,.270,.642,15.1,5.3,2.4,0.7
30,Kwame Brown,2011,2011,1,66,1714,194,375,0,0,136,231,147,450,43,26,39,69,174,524,.517,,.589,26.0,7.9,6.8,0.7
31,P.J. Brown,2001,2002,2,160,5374,499,1088,0,4,347,406,530,1528,234,137,170,193,482,1345,.459,.000,.855,33.6,8.4,9.6,1.5
32,Shannon Brown,2009,2009,1,30,341,56,123,8,28,24,30,8,24,28,18,5,29,33,144,.455,.286,.800,11.4,4.8,0.8,0.9
33,Matt Bullard,2002,2002,1,31,350,39,115,16,57,11,12,10,47,16,2,2,12,29,105,.339,.281,.917,11.3,3.4,1.5,0.5
34,Kevin Burleson,2006,2006,1,39,340,22,88,10,54,16,17,4,26,48,26,2,25,63,70,.250,.185,.941,8.7,1.8,0.7,1.2
35,Scott Burrell,1994,2001,5,168,3997,519,1179,156,400,231,327,193,680,310,156,80,198,419,1425,.440,.390,.706,23.8,8.5,4.0,1.8
36,Willie Burton,1999,1999,1,3,18,1,7,0,1,2,4,4,6,0,0,0,1,2,4,.143,.000,.500,6.0,1.3,2.0,0.0
37,Elden Campbell,1999,2002,4,265,8165,1299,2821,0,15,975,1355,546,2029,396,214,484,467,921,3573,.460,.000,.720,30.8,13.5,7.7,1.5
38,Matt Carroll,2005,2013,8,397,7258,996,2397,338,866,593,706,140,831,302,214,59,277,669,2923,.416,.390,.840,18.3,7.4,2.1,0.8
39,Tom Chambers,1997,1997,1,12,83,7,31,2,3,3,4,3,14,4,1,0,9,14,19,.226,.667,.750,6.9,1.6,1.2,0.3
40,Tyson Chandler,2010,2010,1,51,1163,109,190,0,0,115,157,114,320,16,17,55,91,138,333,.574,,.732,22.8,6.5,6.3,0.3
41,Rex Chapman,1989,1992,4,220,6626,1421,3357,163,508,569,722,180,611,644,203,55,386,494,3574,.423,.321,.788,30.1,16.2,2.8,2.9
42,Derrick Coleman,1999,2001,3,145,4208,711,1640,78,225,502,659,246,1144,292,68,193,305,344,2002,.434,.347,.762,29.0,13.8,7.9,2.0
