Rk,Player,From,To,Yrs,G,MP_total,FG,FGA,3P,3PA,FT,FTA,ORB,TRB_total,AST_total,STL,BLK,TOV,PF,PTS_total,FG%,3P%,FT%,MP,PTS,TRB,AST
362,James White,2007,2007,1,6,137,18,41,2,7,12,15,3,20,5,3,1,5,7,50,.439,.286,.800,22.8,8.3,3.3,0.8
363,Chris Whitney,1994,1995,2,65,518,39,129,13,49,23,26,9,42,81,15,1,55,87,114,.302,.265,.885,8.0,1.8,0.6,1.2
364,Gene Wiley,1968,1968,1,1,21,0,1,0,0,1,3,,3,0,,,2,3,1,.000,,.333,21.0,1.0,3.0,0.0
365,Michael Wiley,1981,1981,1,33,271,76,138,0,2,36,48,22,64,11,8,6,28,38,188,.551,.000,.750,8.2,5.7,1.9,0.3
366,Morlon Wiley,1992,1992,1,3,13,3,5,0,0,0,0,0,1,1,0,0,0,3,6,.600,,,4.3,2.0,0.3,0.3
367,Dominique Wilkins,1997,1997,1,63,1945,397,953,70,239,281,350,169,402,119,39,31,135,100,1145,.417,.293,.803,30.9,18.2,6.4,1.9
368,Jeff Wilkins,1986,1986,1,27,522,51,134,0,0,28,46,34,127,18,8,10,20,71,130,.381,,.609,19.3,4.8,4.7,0.7
369,Mike Wilks,2005,2005,1,48,278,32,77,5,16,12,16,4,25,33,14,1,14,26,81,.416,.313,.750,5.8,1.7,0.5,0.7
370,Brandon Williams,1999,1999,1,3,4,0,0,0,0,2,4,1,1,0,0,0,0,0,2,,,.500,1.3,0.7,0.3,0.0
371,Eric Williams,2007,2007,1,16,88,15,34,8,17,4,7,1,14,6,2,0,5,6,42,.441,.471,.571,5.5,2.6,0.9,0.4
372,Kevin Williams,1984,1984,1,19,200,25,58,0,1,25,32,4,13,43,8,4,22,42,75,.431,.000,.781,10.5,3.9,0.7,2.3
373,Marcus Williams,2008,2009,2,3,5,2,3,0,0,0,0,0,0,0,0,1,0,1,4,.667,,,1.7,1.3,0.0,0.0
374,Monty Williams,1996,1998,3,154,2781,419,874,1,4,251,380,176,408,184,93,78,211,311,1090,.479,.250,.661,18.1,7.1,2.6,1.2
375,Ray Williams,1986,1986,1,23,397,50,131,2,6,62,64,13,37,111,28,3,51,64,164,.382,.333,.969,17.3,7.1,1.6,4.8
376,Reggie Williams,1990,1991,2,32,422,80,169,14,31,39,47,20,67,51,21,14,40,80,213,.473,.452,.830,13.2,6.7,2.1,1.6
377,Reggie Williams,2015,2015,1,20,105,15,39,3,19,4,4,5,17,10,1,0,2,12,37,.385,.158,1.000,5.3,1.9,0.9,0.5
378,Kevin Willis,2003,2004,2,119,1213,193,407,0,3,75,122,120,324,35,41,29,92,181,461,.474,.000,.615,10.2,3.9,2.7,0.3
379,Bill Willoughby,1983,1983,1,52,1062,136,295,6,13,41,53,61,190,56,24,16,56,123,319,.461,.462,.774,20.4,6.1,3.7,1.1
380,Bobby Wilson,1968,1968,1,69,1562,226,581,1,2,163,265,,450,55,,,127,209,616,.389,.500,.615,22.6,8.9,6.5,0.8
381,Ricky Wilson,1988,1988,1,18,373,36,99,9,25,23,29,1,26,63,17,3,21,34,104,.364,.360,.793,20.7,5.8,1.4,3.5
382,David Wingate,1990,1991,2,103,2419,273,629,1,22,116,153,86,270,254,108,23,169,220,663,.434,.045,.758,23.5,6.4,2.6,2.5
383,Skip Wise,1976,1976,1,2,10,2,4,0,0,0,0,1,3,1,0,0,2,4,4,.500,,,5.0,2.0,1.5,0.5
384,Greg Wittman,1971,1971,1,5,30,4,13,0,1,0,2,4,9,0,,,4,7,8,.308,.000,.000,6.0,1.6,1.8,0.0
385,David Wood,1993,1993,1,64,598,52,117,5,21,46,55,38,97,34,13,12,29,93,155,.444,.238,.836,9.3,2.4,1.5,0.5
386,Leon Wood,1988,1988,1,38,830,120,282,43,108,69,91,16,51,155,22,1,34,44,352,.426,.398,.758,21.8,9.3,1.3,4.1
387,Rich Yonakor,1982,1982,1,10,70,14,26,0,0,5,7,13,27,3,1,2,2,7,33,.538,,.714,7.0,3.3,2.7,0.3
388,Phil Zevenbergen,1988,1988,1,8,58,15,27,0,0,0,2,4,13,3,3,1,4,12,30,.556,,.000,7.3,3.8,1.6,0.4
